country,numbers
Afghanistan,2253
Albania,1074
Algeria,3087
American Samoa,0
Andorra,614
Angola,233
Anguilla,0
Antigua  And  Barbuda,81
Argentina,28183
Armenia,1632
Aruba,11
Ashmore And  Cartier  Islands,0
Australia,771798
Austria,110690
Azerbaijan,1907
Bahamas,159
Bahrain,32912
Baker  Island,0
Bangladesh,139622
Barbados,29
Belarus,11428
Belgium,114016
Belize,39
Benin,146
Bermuda,225
Bhutan,25689
Bolivia,758
Bonaire,1
Bophuthatswana,0
Bosnia-Herzegovina,1055
Botswana,828
Bouvet  Island,0
Brazil,58970
British  Virgin  Islands,13
British Antarctic Territory,0
British Colony,0
British Indian Ocean Territory,1
Brunei,19858
Bulgaria,12858
Burkina  Faso,302
Burundi,76
Cambodia,925437
Cameroon,694
Canada,252574
Canary  Islands,6
Cape Verde Rep.,39
Caroline Islands,1
Cayman  Islands,85
Central African Republic,19
Ceuta,0
Chad,157
Channel Islands,96
Chile,16929
China,11138658
Christmas Island,0
Ciskei,0
Clipperton  Island,1
Cocos( Kelling)Islands,0
Colombia,12015
Comoros,650
Cook  Islands,42
Coral  Sea  Islands,0
Costa Rica,2173
Côte D'Ivoire,422
Croatia,7404
Cuba,300
Curacao,2
Cyprus,4482
Czech Republic,54617
Denmark,159526
Djibouti,181
Dominica,118
Ecuador,1758
Egypt,19010
El Salvador,461
Equatorial  Guinea,12
Eritrea,250
Estonia,21654
Eswatini,132
Ethiopia,28237
Faeroe Islands ,164
Falkland  Islands,0
Fiji,1903
Finland,125490
France,713405
France  Mtr.,0
French  Guiana,2
French  Polynesia,653
French Southern And Antarctic Territories,0
Gabon,38
Gambia,111
Georgia,1176
Germany,836926
Ghana,1107
Gibraltar,362
Greece,14957
Greenland,301
Grenada,59
Guadalope,139
Guam,777
Guatemala,888
Guernsey,328
Guinea,912
Guinea-Bissau,17
Guyana,64
Haiti,44
Heard  And  Mcdonald  Islands,0
Honduras,385
Hong Kong (China),1090121
Howland Island,0
Hungary,34948
Iceland,5436
India,1961069
Indonesia,706908
Iran,53867
Iraq,4565
Ireland,54344
Isle Of Man,258
Israel,194081
Italy,250870
Jamaica,363
Japan,1787185
Jarvis  Island,0
Jersey,704
Johnston Atoll,0
Jordan,10353
Kazakhstan,56529
Kenya,8234
Kingman  Reef,0
Kiribati,65
Korea (Republic Of),1880465
Kosovo,0
Kuwait,84504
Kyrgyzstan,4608
Laos,1856762
Latvia,10523
Lebanon,5965
Lesotho,212
Liberia,270
Libya,319
Liechtenstein,859
Lithuania,18525
Luxembourg,8482
Macao (China),83873
Madagascar,1586
Madiera Islands,0
Malawi,318
Malaysia,4274458
Maldives,25751
Mali,511
Malta,3224
Marshall Islands,56
Martinique,121
Mauritania,29
Mauritius,10267
Mauritun,0
Mayotte,420
Melilla,1
Mexico,30931
Micronesia Fsm,9
Midway  Islands,0
Moldova,937
Monaco,1045
Mongolia,16457
Montenegro,497
Montserrat,1
Morocco,9910
Mozambique,1281
Myanmar,389301
N. Mariana Islands,10
Namibia,1366
Nauru,160
Navassa Island,0
Nepal,60428
Netherlands,230006
Netherlands  Antilles,1
New Caledonia,2492
New Zealand,93740
Nicaragua,143
Niger,74
Nigeria,2887
Niue,0
Norfalk  Island,5
North Korea,0
North Macedonia,1293
Norway,130509
Oman,88907
Pakistan,71917
Palau,47
Palestine,1125
Palmyra Atoll,0
Panama,1149
Papua New Guinea,1187
Paraguay,534
Peru,6036
Philippines,473565
Pitcairn Islands,0
Poland,134553
Portugal,42507
Puerto Rico,733
Qatar,42256
República Dominicana,710
République Démocratique Du Congo,6
République Du Congo,591
Reunion,11650
Romania,34872
Ross  Dependency,0
Russian Federation,1481837
Rwanda,273
Saba,4
Saint  Barthelemy,1
Saint  Eustatius,0
Saint  Helena,6
Saint  Lucia,53
Saint  Martin,14
Saint  Pierre  And  Miquelon,4
Samoa,175
San Marino,226
Sao Tome/Principe,2
Saudi Arabia,36783
Senegal,1124
Serbia,8523
Seychelles,2841
Sierra Leone,94
Singapore,1150024
Slovakia,22450
Slovenia,11250
Solomon  Islands,127
Somalia,228
South Georgia And The South Sandwich Islands,0
South Sudan,0
Spain,186969
Sri Lanka,70247
St.  Kitts  And  Nevis,113
St.  Maarten,4
St.  Vincent  And  The  Grenadines,8
Stateless Person,13177
Sudan,3597
Suriname,153
Sweden,279451
Switzerland,206087
Syria,2383
Taiwan,781674
Tajikistan,770
Tanzania,2212
The United States Of America,1136210
Timor-Leste,1430
Togo,216
Tokelau,0
Tonga,163
Transkei,1
Trinidad And Tobago,562
Trust Pacific,0
Tunisia,4824
Turkey,65753
Turkmenistan,2902
Turks  And  Caicos,1
Tuvalu,11
U.A.E.,145530
Uganda,2491
Ukraine,77111
United  States Virgin  Island,0
United Kingdom,946774
United States Minor Outlying Island,1
Unspecified,0
Uruguay,4273
Utopia,0
Uzbekistan,19891
Vanuatu,722
Vatican City State,0
Venezuela,747
Vietnam,1080609
Wake  Island,2
Wallis  And  Futuna  Islands,9
Western  Sahara,0
Yemen,4758
Yugoslavia,0
Zambia,807
Zimbabwe,1084
South Africa,89750
Grand Total,39916251
